type,item,sentence,question
onom,1,黒板を見た。,見る動作は何回行われましたか？
onom,2,稲妻が光った。,何回光りましたか？
onom,3,枝を折った。,折る動作は何回行われましたか？
onom,4,販売員がまばたきをした。,まばたきは何回行われましたか？
onom,5,患者が咳き込んだ。,咳き込む動作は何回行われましたか？
onom,6,建物が揺れた。,何回揺れましたか？
onom,7,社長がお辞儀した。,お辞儀の動作は何回行われましたか？
onom,8,刑事が発砲した。,発砲は何回行われましたか？
onom,9,肉を刺した。,刺す動作は何回行われましたか？
onom,10,傷が痛んだ。,痛みは何回走りましたか？
onom,11,教科書をめくった。,めくる動作は何回行われましたか？
onom,12,玉ねぎを切った。,切る動作は何回行われましたか？
onom,13,生地を混ぜた。,混ぜる動作は何回行われましたか？
onom,14,ハードルを飛び越えた。,飛び越える動作は何回行われましたか？
onom,15,鼻をすすった。,すする動作は何回行われましたか？
onom,16,バレリーナが回った。,回る動作は何回行われましたか？
onom,17,皿を拭いた。,拭く動作は何回行われましたか？
onom,18,涙を流した。,涙は何回流れましたか？
onom,19,ドアノブを回した。,回す動作は何回行われましたか？
onom,20,手を叩いた。,叩く動作は何回行われましたか？
onom,21,バットを振った。,振る動作は何回行われましたか？
onom,22,指を鳴らした。,鳴らす動作は何回行われましたか？
onom,23,写真を撮った。,撮る動作は何回行われましたか？
onom,24,ネギを刻んだ。,切る動作は何回行われましたか？
filler,25,電気を消した。,消す動作は何回行われましたか？
filler,26,コーヒーを入れた。,入れる動作は何回行われましたか？
filler,27,テレビを消した。,消す動作は何回行われましたか？
filler,28,朝ごはんを食べた。,何回朝ご飯を食べましたか？
filler,29,ハガキを買った。,買う動作は何回行われましたか？
filler,30,ドアを開ける。,開ける動作は何回行われましたか？
filler,31,顔を赤らめた。,何回顔を赤めましたか？
filler,32,スープを温めた。,何回温める動作をしましたか？
filler,33,学生を集めた。,何回集める動作をしましたか？
filler,34,レストランに入った。,何回入りましたか？
filler,35,先生が怒った。,何回怒りましたか？
filler,36,誕生日を祝った。,何回祝いましたか？
filler,37,手首を動かした。,何回動かす動作をしましたか？
filler,38,置物を置いた。,何回置く動作をしましたか？
filler,39,鍵を無くした。,何回無くしましたか？
filler,40,実行委員を選んだ。,何回選ぶ動作をしましたか？
filler,41,ペンが落ちた。,何回落ちましたか？
filler,42,カバンを下ろした。,何回下ろす動作をしましたか？
filler,43,手紙を送った。,何回送りましたか？
filler,44,授業に遅れた。,何回遅れましたか？
filler,45,火が消えた。,何回消えましたか？
filler,46,玉ねぎが腐った。,何回腐りましたか？
filler,47,マンションへ引っ越した。,何回引っ越しましたか？
filler,48,誘いを断った。,何回断りましたか？
filler,49,道で転んだ。,何回転びましたか？
filler,50,虫を殺した。,何回殺しましたか？
filler,51,目が覚めた。,何回覚めましたか？
filler,52,太陽が沈んだ。,何回沈みましたか？
filler,53,椅子に座った。,何回座りましたか？
filler,54,テレビを点けた。,何回テレビを点けましたか？
filler,55,鍋を食べた。,何回食べる動作をしましたか？
filler,56,服をたたんだ。,何回畳む動作をしましたか？
filler,57,パンをちぎった。,何回ちぎる動作をしましたか？
filler,58,花を摘んだ。,何回摘む動作をしましたか？
filler,59,部屋を散らかした。,何回散らかす動作をしましたか？
filler,60,荷物を積んだ。,何回積む動作をしましたか？
filler,61,魚を釣る。,何回釣る動作をしましたか？
filler,62,問題を解く。,何回解きましたか？
filler,63,紙飛行機を飛ばした。,何回飛ばしましたか？
filler,64,跳び箱を跳んだ。,何回飛ぶ動作をしましたか？
filler,65,行列に並んだ。,何回並びましたか？
filler,66,服を脱いだ。,何回脱ぐ動作をしましたか？
filler,67,ボールが弾んだ。,何回弾みましたか？
filler,68,ホウキを掃いた。,何回掃きましたか？
filler,69,ピアノを弾いた。,何回弾く動作をしましたか？
filler,70,バットを振った。,何回振る動作をしましたか？
filler,71,洗濯物を干した。,何回干す動作をしましたか？
filler,72,紙を破った。,何回破る動作をしましたか？